Age_Group,Gender,Education,Income,Region,Social_Media_Time,Marketing_Channels,Products_Purchased,Likelihood_Try_New_Brand,Influencing_Factors,Purchase_Last_3mo,Referral_Willingness,Monthly_Online_Spend,Interest_Recommendation_Service,Comfort_Data_Personalization,Biggest_Challenge,Cart_Abandon_Freq,Campaign_Satisfaction,Tech_Attitude
25–34,Female,Postgraduate,17998.0,South,2+ hours,"Email, Google Ads",,Likely,"Discounts/Offers, Product reviews",No,Unlikely,,Yes,Very comfortable,Too many choices,Rarely,1.0,Open but cautious
35–44,,Undergraduate,28107.0,Central/Other,1–2 hours,"Facebook, Instagram, SMS",Electronics,Likely,"Discounts/Offers, Product reviews",Yes,Neutral,907.0,Yes,Neutral,"Complicated checkout, Not enough discounts, Others",Sometimes,5.0,Open but cautious
35–44,Male,Undergraduate,15635.0,East,1–2 hours,"Email, Google Ads, Instagram",Apparel,Very unlikely,"Brand reputation, Visual appeal",Yes,Neutral,1750.0,Yes,Neutral,Complicated checkout,Sometimes,5.0,Skeptical
Under 18,Male,Undergraduate,13653.0,South,<30 mins,"Google Ads, SMS",Other,Very likely,"Brand reputation, Discounts/Offers",Yes,Very likely,343.0,Yes,Very comfortable,Others,Sometimes,2.0,Neutral
25–34,Prefer not to say,Undergraduate,17541.0,North,2+ hours,"Instagram, Other",Apparel,Unlikely,"Discounts/Offers, Product reviews",Yes,Neutral,1282.0,Maybe,Comfortable,"Complicated checkout, Others, Too many choices",Sometimes,2.0,Open but cautious
35–44,Male,High school,16142.0,South,2+ hours,Email,Apparel,Neutral,"Brand reputation, Visual appeal",Yes,Neutral,1594.0,Maybe,Comfortable,"Lack of trust, Not enough discounts",Sometimes,1.0,Open but cautious
25–34,Female,Undergraduate,15893.0,East,30–60 mins,"Google Ads, Other, SMS",Electronics,Neutral,"Discounts/Offers, Friend recommendations",Yes,Very likely,680.0,Yes,Neutral,"Slow delivery, Too many choices",Rarely,3.0,Open but cautious
45–54,Female,Postgraduate,12600.0,North,30–60 mins,"Email, SMS",Apparel,Very unlikely,"Personalization, Product reviews",No,Likely,794.0,Yes,Very comfortable,"Complicated checkout, Others, Slow delivery",Sometimes,2.0,Disinterested
35–44,Male,Undergraduate,58297.0,West,<30 mins,"Email, Google Ads, Instagram",,Unlikely,"Friend recommendations, Personalization",Yes,Unlikely,510.0,Yes,Comfortable,"Complicated checkout, Too many choices",Sometimes,2.0,Open but cautious
18–24,Female,Postgraduate,28793.0,North,30–60 mins,Instagram,Apparel,Very likely,"Personalization, Product reviews",Yes,Unlikely,547.0,No,Very comfortable,"Complicated checkout, Lack of trust, Too many choices",Never,3.0,Open but cautious
18–24,Male,Undergraduate,8380.0,West,2+ hours,Other,Electronics,Neutral,"Personalization, Visual appeal",No,Likely,628.0,Yes,Comfortable,"Complicated checkout, Not enough discounts, Too many choices",Sometimes,3.0,Open but cautious
35–44,Female,High school,8117.0,North,30–60 mins,Instagram,Electronics,Unlikely,"Discounts/Offers, Product reviews",No,Neutral,1744.0,Yes,Comfortable,"Not enough discounts, Others",Never,5.0,Neutral
Under 18,Female,Postgraduate,23638.0,East,<30 mins,"Facebook, Other, SMS",Groceries,Unlikely,"Brand reputation, Personalization",No,Likely,654.0,Yes,Neutral,"Others, Too many choices",Rarely,2.0,Open but cautious
25–34,Male,High school,14164.0,East,30–60 mins,"Instagram, Other",Groceries,Likely,"Discounts/Offers, Personalization",Yes,Likely,233.0,Maybe,Neutral,"Not enough discounts, Slow delivery",Sometimes,4.0,Excited
45–54,Male,Undergraduate,55990.0,North,2+ hours,Instagram,Electronics,Very likely,"Friend recommendations, Personalization",No,Neutral,1474.0,Maybe,Comfortable,Complicated checkout,Often,4.0,Skeptical
25–34,Female,High school,29291.0,South,1–2 hours,"Google Ads, Instagram, Other",Apparel,Neutral,"Friend recommendations, Product reviews",Yes,Very likely,248.0,No,Neutral,"Lack of trust, Others",Often,1.0,Neutral
25–34,Female,High school,25600.0,East,30–60 mins,"Email, Google Ads, SMS",Apparel,Very unlikely,"Product reviews, Visual appeal",Yes,Neutral,1051.0,Yes,Neutral,Slow delivery,Never,,Neutral
35–44,Male,Undergraduate,18449.0,West,30–60 mins,"Facebook, Instagram",Groceries,Neutral,"Brand reputation, Discounts/Offers",Yes,Unlikely,897.0,Maybe,Uncomfortable,Complicated checkout,Sometimes,4.0,Excited
25–34,Female,Undergraduate,34343.0,West,2+ hours,"Email, Facebook, Other",Apparel,Unlikely,"Brand reputation, Product reviews",Yes,Likely,863.0,Maybe,Comfortable,"Complicated checkout, Lack of trust, Not enough discounts",Sometimes,2.0,Open but cautious
25–34,Female,Undergraduate,12366.0,Central/Other,,"Facebook, Instagram, SMS",Apparel,Unlikely,"Discounts/Offers, Product reviews",No,Unlikely,382.0,Yes,Uncomfortable,Others,Rarely,2.0,Disinterested
45–54,Female,Undergraduate,53946.0,West,30–60 mins,Instagram,Groceries,Neutral,"Brand reputation, Visual appeal",Yes,Likely,1379.0,Yes,Comfortable,"Complicated checkout, Not enough discounts, Too many choices",Often,4.0,Skeptical
25–34,Male,High school,30763.0,Central/Other,<30 mins,"Facebook, Instagram, SMS",Electronics,Neutral,"Product reviews, Visual appeal",No,,648.0,No,Comfortable,"Complicated checkout, Lack of trust, Slow delivery",Sometimes,2.0,Open but cautious
55+,Female,High school,15420.0,North,<30 mins,"Instagram, Other, SMS",Apparel,Likely,"Discounts/Offers, Friend recommendations",No,Likely,1674.0,Yes,Uncomfortable,Lack of trust,Always,3.0,Excited
45–54,Female,Undergraduate,17558.0,North,<30 mins,"Google Ads, Other",Apparel,Neutral,"Friend recommendations, Visual appeal",Yes,Neutral,1423.0,No,Neutral,Others,Never,1.0,Open but cautious
18–24,Male,Undergraduate,10024.0,North,1–2 hours,"Google Ads, Instagram, Other",Services,Very likely,"Discounts/Offers, Product reviews",Yes,Neutral,2217.0,No,Neutral,"Complicated checkout, Lack of trust, Slow delivery",Rarely,5.0,
18–24,Male,Undergraduate,27383.0,South,2+ hours,Facebook,Services,Very likely,"Brand reputation, Friend recommendations",Yes,Neutral,1155.0,No,Neutral,Slow delivery,Often,4.0,Neutral
18–24,Non-binary/Other,Undergraduate,14477.0,South,30–60 mins,"Instagram, Other, SMS",Groceries,Likely,"Friend recommendations, Visual appeal",Yes,Neutral,1485.0,Yes,Neutral,"Complicated checkout, Not enough discounts, Slow delivery",Sometimes,5.0,Disinterested
Under 18,Male,Postgraduate,28983.0,Central/Other,2+ hours,"Google Ads, Instagram, Other",Electronics,Neutral,"Discounts/Offers, Personalization",Yes,Neutral,735.0,No,Very uncomfortable,Too many choices,Often,1.0,
18–24,Female,Undergraduate,15570.0,West,30–60 mins,Google Ads,Electronics,Neutral,"Brand reputation, Product reviews",No,Likely,256.0,Maybe,Very comfortable,"Not enough discounts, Too many choices",Never,3.0,Excited
35–44,Male,Undergraduate,27708.0,West,1–2 hours,"Email, Facebook, SMS",Other,Neutral,"Product reviews, Visual appeal",Yes,Likely,648.0,Yes,Very uncomfortable,"Complicated checkout, Others, Too many choices",Sometimes,3.0,Skeptical
18–24,Male,Undergraduate,57131.0,North,1–2 hours,"Email, SMS",Other,Likely,"Discounts/Offers, Personalization",Yes,Unlikely,1439.0,No,Comfortable,Others,Sometimes,3.0,Excited
25–34,Female,Undergraduate,24634.0,East,30–60 mins,"Email, Google Ads",Apparel,Likely,"Discounts/Offers, Friend recommendations",No,Neutral,1263.0,Yes,Neutral,"Complicated checkout, Lack of trust, Slow delivery",Never,3.0,Disinterested
45–54,Male,Undergraduate,37305.0,South,30–60 mins,"Google Ads, Other",Services,Very likely,"Brand reputation, Personalization",Yes,Likely,909.0,Yes,Comfortable,"Lack of trust, Slow delivery, Too many choices",Sometimes,4.0,Neutral
Under 18,Female,Postgraduate,9077.0,South,1–2 hours,Instagram,Apparel,Very likely,"Brand reputation, Visual appeal",No,Neutral,827.0,No,Neutral,Others,Sometimes,4.0,Disinterested
45–54,Male,Undergraduate,11612.0,North,<30 mins,"Facebook, SMS",Apparel,Neutral,"Brand reputation, Discounts/Offers",Yes,Neutral,488.0,Yes,Comfortable,Complicated checkout,Rarely,2.0,Excited
25–34,Female,Postgraduate,33779.0,South,30–60 mins,"Email, Facebook, Instagram",Groceries,Likely,"Discounts/Offers, Product reviews",Yes,Likely,898.0,Yes,Comfortable,"Complicated checkout, Others, Too many choices",Rarely,2.0,Excited
18–24,Male,Postgraduate,19009.0,North,1–2 hours,"Facebook, Instagram, SMS",Electronics,Unlikely,"Brand reputation, Visual appeal",Yes,Likely,882.0,Yes,Comfortable,Others,Sometimes,1.0,Open but cautious
35–44,Male,Postgraduate,19332.0,Central/Other,2+ hours,"Email, Instagram, Other",Services,Neutral,"Friend recommendations, Product reviews",Yes,Neutral,2154.0,No,Uncomfortable,"Lack of trust, Others, Too many choices",Sometimes,2.0,Open but cautious
35–44,Non-binary/Other,Postgraduate,10829.0,West,30–60 mins,"Email, Facebook, Google Ads",Apparel,Neutral,"Discounts/Offers, Visual appeal",Yes,Likely,1367.0,Maybe,Comfortable,"Not enough discounts, Others, Too many choices",Often,1.0,Open but cautious
45–54,Male,Undergraduate,14382.0,East,2+ hours,Other,Electronics,Neutral,"Brand reputation, Friend recommendations",No,Unlikely,1158.0,Yes,Neutral,"Lack of trust, Slow delivery",Rarely,1.0,Disinterested
35–44,Female,Undergraduate,11618.0,West,30–60 mins,Instagram,Services,Very likely,"Personalization, Product reviews",Yes,Very likely,1224.0,No,Very uncomfortable,"Others, Slow delivery, Too many choices",Rarely,1.0,Skeptical
45–54,Male,Undergraduate,40273.0,West,1–2 hours,Other,Services,Unlikely,"Personalization, Product reviews",No,Unlikely,2402.0,Yes,Neutral,"Others, Slow delivery",Always,3.0,Neutral
25–34,Female,Undergraduate,15011.0,Central/Other,1–2 hours,"Email, Google Ads, Instagram",Apparel,Likely,"Brand reputation, Friend recommendations",Yes,Very unlikely,816.0,No,Neutral,Too many choices,Always,5.0,Excited
18–24,Male,Undergraduate,33008.0,South,2+ hours,"Email, Facebook, SMS",Electronics,Likely,"Discounts/Offers, Visual appeal",Yes,Likely,740.0,Yes,Neutral,Complicated checkout,Never,5.0,Neutral
35–44,Non-binary/Other,Undergraduate,9773.0,East,30–60 mins,"Email, Facebook",Groceries,Likely,"Discounts/Offers, Product reviews",Yes,Unlikely,2495.0,No,Comfortable,"Complicated checkout, Others",Often,4.0,Neutral
45–54,Male,Undergraduate,22548.0,South,1–2 hours,"Facebook, Instagram",Apparel,Neutral,"Brand reputation, Personalization",No,Likely,1624.0,Maybe,Neutral,"Slow delivery, Too many choices",Rarely,1.0,Open but cautious
55+,Male,Undergraduate,15165.0,West,1–2 hours,Google Ads,Other,Very likely,"Brand reputation, Visual appeal",Yes,Likely,702.0,Maybe,Neutral,"Lack of trust, Not enough discounts, Others",Never,3.0,Disinterested
25–34,Male,High school,54415.0,North,30–60 mins,"Google Ads, Instagram, SMS",Services,Likely,"Friend recommendations, Product reviews",Yes,Likely,2530.0,Yes,Very uncomfortable,Slow delivery,Rarely,2.0,Excited
25–34,Male,Undergraduate,54328.0,West,<30 mins,Google Ads,Apparel,Neutral,"Discounts/Offers, Visual appeal",No,Very likely,863.0,Maybe,Comfortable,Not enough discounts,Rarely,2.0,Open but cautious
35–44,Female,High school,19385.0,South,<30 mins,SMS,Apparel,Unlikely,"Brand reputation, Visual appeal",Yes,Unlikely,864.0,Yes,Neutral,Too many choices,Often,4.0,Excited
25–34,Male,Postgraduate,40947.0,West,<30 mins,"Google Ads, SMS",Apparel,Likely,"Brand reputation, Friend recommendations",No,Likely,408.0,Maybe,Neutral,"Complicated checkout, Lack of trust",Sometimes,4.0,Neutral
45–54,Female,Undergraduate,74694.0,North,2+ hours,"Google Ads, SMS",Services,Likely,"Friend recommendations, Visual appeal",Yes,Unlikely,489.0,Yes,Comfortable,Others,Always,1.0,Neutral
45–54,Male,High school,56891.0,Central/Other,30–60 mins,Instagram,Apparel,Likely,"Friend recommendations, Product reviews",No,Neutral,1837.0,Yes,Neutral,"Lack of trust, Slow delivery",Sometimes,1.0,Open but cautious
25–34,Male,High school,55541.0,,30–60 mins,"Facebook, Instagram, Other",Electronics,Likely,"Brand reputation, Friend recommendations",No,Likely,984.0,Yes,Neutral,"Lack of trust, Slow delivery",Sometimes,2.0,Excited
35–44,Female,Undergraduate,18720.0,West,1–2 hours,"Email, Facebook, Instagram",Electronics,Likely,"Friend recommendations, Personalization",No,,1051.0,Yes,Neutral,Lack of trust,Sometimes,2.0,Excited
35–44,Female,Undergraduate,28436.0,South,30–60 mins,"Email, Google Ads, SMS",Electronics,Unlikely,"Discounts/Offers, Personalization",Yes,Neutral,,Maybe,Comfortable,Others,Always,2.0,Excited
18–24,Male,Undergraduate,8505.0,Central/Other,1–2 hours,"Facebook, SMS",Apparel,Very unlikely,"Friend recommendations, Personalization",Yes,Neutral,1431.0,Maybe,Comfortable,"Complicated checkout, Lack of trust, Too many choices",Sometimes,2.0,Open but cautious
45–54,Male,High school,8421.0,West,30–60 mins,"Instagram, Other",Apparel,Neutral,"Discounts/Offers, Friend recommendations",No,Neutral,492.0,,Neutral,"Others, Too many choices",Often,5.0,Open but cautious
25–34,Male,Undergraduate,71351.0,West,2+ hours,"Facebook, Instagram, Other",Services,Likely,"Discounts/Offers, Friend recommendations",Yes,Very likely,2041.0,Maybe,Uncomfortable,Lack of trust,Always,1.0,Open but cautious
45–54,Female,Undergraduate,18361.0,South,2+ hours,Instagram,Services,Likely,"Friend recommendations, Visual appeal",Yes,Very unlikely,1880.0,Maybe,Uncomfortable,Others,Rarely,1.0,Skeptical
25–34,Female,Undergraduate,23591.0,South,2+ hours,"Email, Google Ads",Groceries,Neutral,"Friend recommendations, Visual appeal",No,Neutral,986.0,Yes,Comfortable,"Complicated checkout, Not enough discounts, Slow delivery",Sometimes,2.0,Open but cautious
45–54,Male,Undergraduate,50065.0,North,30–60 mins,"Facebook, SMS",Apparel,Likely,"Brand reputation, Personalization",Yes,Likely,431.0,Yes,Very comfortable,"Complicated checkout, Lack of trust, Slow delivery",Often,3.0,Neutral
25–34,Female,Undergraduate,57577.0,Central/Other,1–2 hours,"Email, Facebook, Other",Apparel,Neutral,"Discounts/Offers, Personalization",Yes,Neutral,1330.0,Yes,Neutral,Others,Always,2.0,Excited
Under 18,Female,High school,89002.0,North,<30 mins,"Email, Facebook, Instagram",Groceries,Neutral,"Friend recommendations, Visual appeal",Yes,Very unlikely,561.0,Yes,Uncomfortable,"Complicated checkout, Slow delivery",Rarely,4.0,Open but cautious
45–54,Female,Other,16746.0,West,<30 mins,"Email, Instagram, Other",Apparel,Neutral,"Discounts/Offers, Visual appeal",Yes,Neutral,910.0,Yes,Comfortable,"Lack of trust, Others",Sometimes,3.0,Open but cautious
18–24,Female,Undergraduate,9464.0,South,<30 mins,"Google Ads, SMS",Services,Unlikely,"Friend recommendations, Visual appeal",Yes,Neutral,952.0,Yes,Comfortable,"Lack of trust, Others, Too many choices",Sometimes,4.0,Excited
25–34,Male,Undergraduate,12391.0,,1–2 hours,"Google Ads, Other",Groceries,Unlikely,"Product reviews, Visual appeal",No,Unlikely,592.0,Yes,Very comfortable,"Complicated checkout, Slow delivery, Too many choices",Rarely,3.0,Excited
55+,Male,High school,9519.0,West,30–60 mins,"Email, Facebook, Google Ads",Apparel,Unlikely,"Personalization, Visual appeal",Yes,Likely,2209.0,Yes,Comfortable,"Complicated checkout, Not enough discounts, Others",Sometimes,4.0,Skeptical
55+,Male,Undergraduate,8380.0,East,1–2 hours,"Email, Facebook, Other",Services,Unlikely,"Brand reputation, Friend recommendations",No,Neutral,697.0,Maybe,Very comfortable,Slow delivery,Rarely,2.0,Disinterested
25–34,Male,High school,15378.0,East,<30 mins,"Email, SMS",Other,Very unlikely,"Friend recommendations, Visual appeal",No,Very likely,2131.0,Yes,Very uncomfortable,Lack of trust,Rarely,2.0,Excited
35–44,Female,Undergraduate,33030.0,West,30–60 mins,"Google Ads, Other",Apparel,Likely,"Brand reputation, Personalization",No,Likely,1144.0,No,Uncomfortable,Slow delivery,Sometimes,3.0,Open but cautious
25–34,Female,Postgraduate,33108.0,South,1–2 hours,Facebook,Electronics,Neutral,,Yes,Likely,393.0,No,Uncomfortable,Slow delivery,Sometimes,4.0,Disinterested
25–34,Male,Undergraduate,12673.0,West,30–60 mins,"Instagram, Other",Apparel,Very likely,"Brand reputation, Friend recommendations",No,Very unlikely,995.0,No,Comfortable,"Others, Slow delivery",Sometimes,5.0,Excited
25–34,Male,High school,22561.0,East,1–2 hours,Google Ads,Electronics,Unlikely,"Friend recommendations, Visual appeal",Yes,Neutral,2193.0,Yes,Very uncomfortable,Complicated checkout,Sometimes,3.0,Neutral
35–44,Male,High school,17868.0,South,30–60 mins,SMS,Apparel,Neutral,"Brand reputation, Friend recommendations",Yes,Unlikely,972.0,Yes,Neutral,"Lack of trust, Not enough discounts, Others",Rarely,3.0,Disinterested
35–44,Female,Undergraduate,10996.0,West,2+ hours,"Other, SMS",Electronics,Neutral,"Friend recommendations, Visual appeal",No,Very likely,676.0,Yes,Neutral,Lack of trust,Rarely,1.0,Disinterested
35–44,Male,High school,21212.0,Central/Other,1–2 hours,"Facebook, Google Ads",Other,Very unlikely,"Friend recommendations, Visual appeal",Yes,Unlikely,1833.0,Yes,Neutral,Lack of trust,Never,3.0,
35–44,Female,High school,29122.0,Central/Other,30–60 mins,"Facebook, Other",Electronics,Likely,"Friend recommendations, Personalization",No,Unlikely,627.0,Yes,Very comfortable,"Complicated checkout, Lack of trust, Others",Rarely,5.0,Excited
18–24,Male,Postgraduate,21540.0,West,30–60 mins,Instagram,Apparel,Very unlikely,"Discounts/Offers, Product reviews",Yes,Neutral,892.0,No,Uncomfortable,Others,Sometimes,2.0,Excited
25–34,Male,Undergraduate,8912.0,South,1–2 hours,Google Ads,Groceries,Very likely,"Personalization, Visual appeal",No,Unlikely,1034.0,No,Neutral,Too many choices,Often,4.0,Skeptical
18–24,Prefer not to say,Undergraduate,57028.0,West,2+ hours,Other,Apparel,Very likely,"Brand reputation, Product reviews",Yes,Unlikely,900.0,No,Comfortable,"Lack of trust, Not enough discounts, Others",Rarely,1.0,Skeptical
25–34,Non-binary/Other,Postgraduate,28694.0,West,30–60 mins,"Facebook, Instagram, Other",Services,Likely,"Product reviews, Visual appeal",No,Neutral,1112.0,No,Very uncomfortable,"Not enough discounts, Others",Rarely,4.0,Neutral
,Male,High school,28922.0,East,30–60 mins,Instagram,Electronics,Likely,"Discounts/Offers, Product reviews",Yes,Very unlikely,959.0,Yes,Comfortable,"Complicated checkout, Slow delivery, Too many choices",Sometimes,2.0,Neutral
45–54,Non-binary/Other,Postgraduate,37668.0,Central/Other,2+ hours,Facebook,Apparel,Likely,"Brand reputation, Visual appeal",Yes,Very unlikely,,Maybe,Comfortable,"Lack of trust, Slow delivery, Too many choices",Rarely,3.0,Neutral
